name,city,state,star,address,bid,zip,review,thur,fri,wed,tue,mon,sat,sun
Taco Bell,Phoenix,AZ,3,2450 E Indian School Rd,1Dfx3zM-rW4n-31KeC8sJg,85016,18,7:0-1:0,7:0-1:0,7:0-0:0,7:0-0:0,7:0-0:0,7:0-1:0,7:0-0:0
Marathon Diner,Pittsburgh,PA,4,"Center Core - Food Court, Fl 3, Pittsburgh International Airport",1RHY4K3BD22FK7Cfftn8Mg,15231,35,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
Maria's Mexican Restaurant & Bakery,Las Vegas,NV,4.5,6055 E Lake Mead Blvd,tstimHoMcYbkSC4eBA1wEg,89156,184,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,11:0-21:0,10:0-21:0,10:0-20:0
Three Square,Las Vegas,NV,5,4190 N Pecos Rd,NBn4hgfGtNz91k3VsDZlmw,89115,44,8:0-17:0,8:0-17:0,8:0-17:0,8:0-17:0,0:0-0:0,8:0-17:0,8:0-17:0
Nothing Bundt Cakes,Scottsdale,AZ,4,"17025 N Scottsdale Rd, Ste 110",q2KtxnPa6rPSpAlMbg9l8g,85255,174,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,9:0-18:0,10:0-15:0
Spirit Apothecary,Bedford,OH,4.5,664 Broadway Ave,iXkqd9uNods7YnxrnBq_RA,44146,10,12:0-20:0,12:0-20:0,12:0-20:0,12:0-20:0,12:0-20:0,11:0-19:0,CLOSED
Vals Getaway DES Cafeteria,Phoenix,AZ,3,1789 W Jefferson,ysfeDcLAYk_MVzfBmyiSTg,85007,14,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
Daily Donut,Peoria,AZ,4.5,"9133 W Thunderbird Rd, Ste 107",Q1GhjqlLENaT383k9Ex5wg,85381,33,5:0-17:0,5:0-17:0,5:0-17:0,5:0-17:0,5:0-17:0,5:0-17:0,6:0-15:0
Served,Henderson,NV,4.5,"1770 W Horizon Ridge, Ste 100",jScBTQtdAt-8RshaiBEHgw,89012,664,11:0-16:0,9:0-15:0,9:0-14:0,9:0-15:0,0:0-0:0,9:0-15:0,9:0-16:0
Mr G's Pub & Grub,Las Vegas,NV,4,"3342 E Sandhill Rd, Ste 11",iwGhazq9eP51PSerTrMrwg,89121,27,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
Bonjour Bakery & Deli,Las Vegas,NV,4.5,"4012 S Rainbow Blvd, Ste J",0G83H_zoum-Q4bWU2olTqQ,89103,39,8:0-15:0,10:0-16:0,8:0-15:0,8:0-15:0,0:0-0:0,8:0-15:0,8:0-15:0
Aladdin's Eatery,Mentor,OH,4.5,8870 Mentor Ave,U3-kxz7NWq4ix4bPmKKQ0w,44060,47,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-21:0
Starbucks,Gastonia,NC,2.5,425 Cox Rd,NAb3h3qC-12q5sjOzvIDHg,28054,13,7:0-22:0,8:0-22:0,7:0-22:0,7:0-22:0,7:0-22:0,8:0-21:0,7:0-22:0
Five Guys,Phoenix,AZ,3.5,2340 E Baseline Rd,vg4ynLZ0yJ89pT4s_CEMzQ,85042,23,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0,11:0-22:0
Pizza Hut,Phoenix,AZ,2,"2835 N 16th St, Ste 103",e-9f6vasnWh3z0uOq287Aw,85006,14,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
Trader Joe's,Henderson,NV,4.5,2716 N Green Valley Pkwy,Qb4sJ4ssSX1clY2wEAOmsA,89014,196,8:0-21:0,8:0-21:0,8:0-17:0,8:0-21:0,8:0-21:0,8:0-21:0,8:0-21:0
Jersey Mike's Subs,Middleton,WI,4,1601 Deming Way,ItmLljzhwhuyyvekNs4Ymg,53562,20,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0
China AAA,Henderson,NV,4.5,10624 S Eastern Ave,jX9DocoiY4Bo9EUkaTSqvg,89052,149,11:0-21:30,11:0-22:0,11:0-21:30,11:0-19:0,0:0-0:0,11:0-22:0,11:0-21:0
Jimmy John's,Wexford,PA,3,12061 Perry Hwy,El6Bum4I-0VWJRgzbtscJQ,15090,11,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-21:0
Steak and Shake,Brunswick,OH,2,3316 Center Rd,JO5_Frcbp9J732VNn-I3Ew,44212,44,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
Gandhi International Market,Charlotte,NC,2,9630-G University City Blvd,UZCfJ29B4MRIS3igABE_Ew,28213,11,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
Ben & Jerry's,Charlotte,NC,3.5,7800 Fairview Rd,nwxF9EKLOCpkScMF2utHDw,28226,19,12:0-21:0,12:0-22:0,12:0-21:0,12:0-21:0,12:0-21:0,12:0-22:0,12:0-21:0
Cakes On the Move,Henderson,NV,5,1211 Santa Helena Ave,UPh90LM8UMnVFQP6NGktrA,89002,57,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0,0:0-0:0
Insomnia Cookies,Pittsburgh,PA,3,115 Meyran Ave,O-fYUqXjkwNvRfFnlUH6Iw,15213,18,9:0-3:0,9:0-3:0,9:0-3:0,9:0-3:0,9:0-3:0,11:0-3:0,11:0-3:0
Williams-Sonoma,Scottsdale,AZ,2.5,"7014 E Camelback Rd, Ste 1236",d7iFE8GCz3S8eZGWEQoP6Q,85251,19,10:0-21:0,10:0-21:0,10:0-21:0,10:0-21:0,10:0-18:0,10:0-21:0,11:0-18:0
Pita Pit,Indian Trail,NC,4,"3816 Sardis Church Rd, Ste 101",QcUKFdAWxFq42-zE96cS-A,28079,34,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,11:0-19:0,11:0-15:30
Genghis Grill,Matthews,NC,3.5,9727 E Independence Blvd,yuhnMOLGmXHhQxyp1V_rBw,28105,84,11:0-21:0,11:0-22:0,11:0-21:0,11:0-21:0,11:0-21:0,11:0-22:0,11:0-21:0
Chipotle Mexican Grill,Las Vegas,NV,3.5,3475 Las Vegas Blvd S,dusNIzdCaH6EoLl2hRy6cQ,89109,115,10:0-0:0,10:0-1:0,10:0-0:0,10:0-0:0,10:0-0:0,10:0-1:0,10:0-0:0
Carolina Beer Company,Charlotte,NC,2,Charlotte-Douglas Intl Airport,4buRElPC3-ka-s2q55VVFw,28208,77,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED,CLOSED
