day	hour	value
1	1	1022
1	2	1023
1	3	1024
1	4	1025
1	5	1086
1	6	1306
1	7	1682
1	8	2051
1	9	2259
1	10	2530
1	11	3270
1	12	3879
1	13	3939
1	14	3936
1	15	3898
1	16	3837
1	17	3801
1	18	3720
1	19	3564
1	20	3410
1	21	3124
1	22	2332
1	23	1397
1	24	1022
2	1	433
2	2	434
2	3	435
2	4	436
2	5	497
2	6	727
2	7	1151
2	8	1596
2	9	1844
2	10	2146
2	11	2997
2	12	3835
2	13	3934
2	14	3932
2	15	3882
2	16	3805
2	17	3782
2	18	3695
2	19	3490
2	20	3287
2	21	2933
2	22	1935
2	23	838
2	24	433
3	1	437
3	2	438
3	3	439
3	4	440
3	5	502
3	6	731
3	7	1154
3	8	1614
3	9	1863
3	10	2175
3	11	3024
3	12	3883
3	13	3986
3	14	3984
3	15	3940
3	16	3858
3	17	3822
3	18	3720
3	19	3511
3	20	3313
3	21	2949
3	22	1957
3	23	846
3	24	437
4	1	435
4	2	436
4	3	437
4	4	440
4	5	503
4	6	727
4	7	1148
4	8	1601
4	9	1853
4	10	2166
4	11	3014
4	12	3865
4	13	3967
4	14	3961
4	15	3918
4	16	3858
4	17	3844
4	18	3776
4	19	3577
4	20	3374
4	21	2992
4	22	1985
4	23	878
4	24	435
5	1	449
5	2	450
5	3	451
5	4	451
5	5	506
5	6	709
5	7	1105
5	8	1551
5	9	1794
5	10	2106
5	11	2903
5	12	3665
5	13	3774
5	14	3770
5	15	3722
5	16	3651
5	17	3611
5	18	3546
5	19	3346
5	20	3162
5	21	2832
5	22	2061
5	23	1081
5	24	449
6	1	455
6	2	456
6	3	457
6	4	457
6	5	492
6	6	665
6	7	989
6	8	1365
6	9	1700
6	10	2059
6	11	2849
6	12	3577
6	13	3720
6	14	3708
6	15	3639
6	16	3540
6	17	3475
6	18	3387
6	19	3208
6	20	3054
6	21	2760
6	22	2030
6	23	1071
6	24	455
7	1	434
7	2	436
7	3	437
7	4	438
7	5	490
7	6	638
7	7	883
7	8	1218
7	9	1510
7	10	1783
7	11	2520
7	12	3259
7	13	3547
7	14	3559
7	15	3466
7	16	3357
7	17	3263
7	18	3116
7	19	2888
7	20	2722
7	21	2374
7	22	1637
7	23	802
7	24	434
